name,school,circuit
"Colt, LeBaron Bradford","Yale College, A.B., 1868Columbia Law School, LL.B., 1870",First
"Putnam, William LeBaron","Bowdoin College, A.B., 1855Read law, 1858",First
"Lowell, Francis Cabot","Harvard University, A.B., 1876Harvard Law School, LL.B., 1879",First
"Schofield, William","Harvard Law School, LL.B., 1883",First
"Dodge, Frederic","Harvard College, B.A., 1867Harvard Law School, LL.B., 1869",First
"Bingham, George Hutchins","Dartmouth College, A.B., 1887Harvard Law School, LL.B., 1891",First
"Johnson, Charles Fletcher","Bowdoin College, A.B., 1879Read law, 1886",First
"Anderson, George Weston","Williams College, A.B., 1886Boston University School of Law, LL.B., 1890",First
"Wilson, Scott","University of PennsylvaniaBates College, A.B., 1892Read law, 1895",First
"Morton, James Madison, Jr.","Harvard College, A.B., 1891Harvard College, A.M., 1894Harvard Law School, LL.B., 1894",First
"Magruder, Calvert","St. John's College, Annapolis, Maryland, A.B., 1913Harvard Law School, LL.B., 1916St. John's College, Annapolis, Maryland, A.M., 1917",First
"Mahoney, John Christopher","Brown University, A.B., 1905Harvard Law School, LL.B., 1908",First
"Woodbury, Peter","Columbia Law SchoolHarvard University, B.S., 1924Harvard Law School, LL.B., 1927",First
"Hartigan, John Patrick","Harvard UniversityBrown University, A.B., 1910Columbia University, A.M., 1913Columbia Law School, LL.B., 1913",First
"Aldrich, Bailey","Harvard University, A.B., 1928Harvard Law School, LL.B., 1932",First
"McEntee, Edward Matthew","College of the Holy Cross, A.B., 1928Boston University School of Law, LL.B., 1933",First
"Coffin, Frank Morey","Bates College, A.B., 1940Harvard Business School, I.A., 1943Harvard Law School, LL.B., 1947",First
"Campbell, Levin Hicks","Harvard College, A.B., 1948Harvard Law School, LL.B., 1951",First
"Bownes, Hugh Henry","Columbia University, B.A., 1941Columbia Law School, LL.B., 1948",First
"Breyer, Stephen Gerald","Stanford University, A.B., 1959University of Oxford, B.A., 1961Harvard Law School, LL.B., 1964",First
"Torruella, Juan R.","University of Pennsylvania, Wharton School, B.S., 1954Boston University School of Law, J.D., 1957University of Virginia School of Law, LL.M., 1984University of Puerto Rico School of Public Administration, M.P.A., 1984",First
