school1_alt,school2_alt,school3_alt,lastname,firstname,suffix,name,year1,school2,year2,school3,year3,school4,year4,school5,year5,circuit
"Yale College, A.B.",,,Colt, LeBaron Bradford,,"Colt, LeBaron Bradford",1868,"Columbia Law School, LL.B.",1870,,,,,,,First
"Bowdoin College, A.B.",,,Putnam, William LeBaron,,"Putnam, William LeBaron",1855,Read law,1858,,,,,,,First
"Harvard University, A.B.",,,Lowell, Francis Cabot,,"Lowell, Francis Cabot",1876,"Harvard Law School, LL.B.",1879,,,,,,,First
"Harvard Law School, LL.B.",,,Schofield, William,,"Schofield, William",1883,"Harvard Law School, LL.B.",,,,,,,,First
"Harvard College, B.A.",,,Dodge, Frederic,,"Dodge, Frederic",1867,"Harvard Law School, LL.B.",1869,,,,,,,First
"Dartmouth College, A.B.",,,Bingham, George Hutchins,,"Bingham, George Hutchins",1887,"Harvard Law School, LL.B.",1891,,,,,,,First
"Bowdoin College, A.B.",,,Johnson, Charles Fletcher,,"Johnson, Charles Fletcher",1879,Read law,1886,,,,,,,First
"Williams College, A.B.",,,Anderson, George Weston,,"Anderson, George Weston",1886,"Boston University School of Law, LL.B.",1890,,,,,,,First
University of Pennsylvania,"Bates College, A.B.",,Wilson, Scott,,"Wilson, Scott",1892,Read law,1895,,,,,,,First
"Harvard College, A.B.",,,Morton, James Madison, Jr.,"Morton, James Madison, Jr.",1891,"Harvard College, A.M.",1894,"Harvard Law School, LL.B.",1894,,,,,First
"St. John's College, Annapolis, Maryland, A.B.",,,Magruder, Calvert,,"Magruder, Calvert",1913,"Harvard Law School, LL.B.",1916,"St. John's College, Annapolis, Maryland, A.M.",1917,,,,,First
"Brown University, A.B.",,,Mahoney, John Christopher,,"Mahoney, John Christopher",1905,"Harvard Law School, LL.B.",1908,"St. John's College, Annapolis, Maryland, A.M.",,,,,,First
Columbia Law School,"Harvard University, B.S.",,Woodbury, Peter,,"Woodbury, Peter",1924,"Harvard Law School, LL.B.",1927,"St. John's College, Annapolis, Maryland, A.M.",,,,,,First
Harvard University,"Brown University, A.B.",,Hartigan, John Patrick,,"Hartigan, John Patrick",1910,"Columbia University, A.M.",1913,"Columbia Law School, LL.B.",1913,,,,,First
"Harvard University, A.B.",,,Aldrich, Bailey,,"Aldrich, Bailey",1928,"Harvard Law School, LL.B.",1932,"Columbia Law School, LL.B.",,,,,,First
"College of the Holy Cross, A.B.",,,McEntee, Edward Matthew,,"McEntee, Edward Matthew",1928,"Boston University School of Law, LL.B.",1933,"Columbia Law School, LL.B.",,,,,,First
