school1_alt,school2_alt,school3_alt,lastname,firstname,suffix,name,year1,school2,year2,school3,year3,school4,year4,school5,year5,circuit
Yale University,,,Colt, LeBaron Bradford,,"Colt, LeBaron Bradford",1868.0,Columbia University,1870.0,,,,,,,First
Bowdoin College,,,Putnam, William LeBaron,,"Putnam, William LeBaron",1855.0,,1858.0,,,,,,,First
Harvard University,,,Lowell, Francis Cabot,,"Lowell, Francis Cabot",1876.0,Harvard University,1879.0,,,,,,,First
Harvard University,,,Schofield, William,,"Schofield, William",1883.0,Harvard University,,,,,,,,First
Harvard University,,,Dodge, Frederic,,"Dodge, Frederic",1867.0,Harvard University,1869.0,,,,,,,First
Dartmouth College,,,Bingham, George Hutchins,,"Bingham, George Hutchins",1887.0,Harvard University,1891.0,,,,,,,First
Bowdoin College,,,Johnson, Charles Fletcher,,"Johnson, Charles Fletcher",1879.0,,1886.0,,,,,,,First
Williams College,,,Anderson, George Weston,,"Anderson, George Weston",1886.0,Boston University,1890.0,,,,,,,First
University of Pennsylvania,Bates College,,Wilson, Scott,,"Wilson, Scott",1892.0,,1895.0,,,,,,,First
Harvard University,,,Morton, James Madison,,"Morton, James Madison",1891.0,Harvard University,1894.0,Harvard University,1894.0,,,,,First
St. John's College,,,Magruder, Calvert,,"Magruder, Calvert",1913.0,Harvard University,1916.0,St. John's College,1917.0,,,,,First
Brown University,,,Mahoney, John Christopher,,"Mahoney, John Christopher",1905.0,Harvard University,1908.0,St. John's College,,,,,,First
Columbia University,Harvard University,,Woodbury, Peter,,"Woodbury, Peter",1924.0,Harvard University,1927.0,St. John's College,,,,,,First
Harvard University,Brown University,,Hartigan, John Patrick,,"Hartigan, John Patrick",1910.0,Columbia University,1913.0,Columbia University,1913.0,,,,,First
Harvard University,,,Aldrich, Bailey,,"Aldrich, Bailey",1928.0,Harvard University,1932.0,Columbia University,,,,,,First
College of the Holy Cross,,,McEntee, Edward Matthew,,"McEntee, Edward Matthew",1928.0,Boston University,1933.0,Columbia University,,,,,,First
Bates College,,,Coffin, Frank Morey,,"Coffin, Frank Morey",1940.0,Harvard University,1943.0,Harvard University,1947.0,,,,,First
Harvard University,,,Campbell, Levin Hicks,,"Campbell, Levin Hicks",1948.0,Harvard University,1951.0,Harvard University,,,,,,First
Columbia University,,,Bownes, Hugh Henry,,"Bownes, Hugh Henry",1941.0,Columbia University,1948.0,Harvard University,,,,,,First
Stanford University,,,Breyer, Stephen Gerald,,"Breyer, Stephen Gerald",1959.0,University of Oxford,1961.0,Harvard University,1964.0,,,,,First
University of Pennsylvania,,,Torruella, Juan,,"Torruella, Juan",1954.0,Boston University,1957.0,University of Virginia,1984.0,University of Puerto Rico School of Public Administration,1984.0,,,First
Harvard University,,,Selya, Bruce Marshall,,"Selya, Bruce Marshall",1955.0,Harvard University,1958.0,University of Virginia,,,,,,First
College of the Holy Cross,,,Cyr, Conrad Keefe,,"Cyr, Conrad Keefe",1953.0,Yale University,1956.0,University of Virginia,,,,,,First
Harvard University,,,Souter, David Hackett,,"Souter, David Hackett",1961.0,University of Oxford,1963.0,University of Oxford,1963.0,Harvard University,1966.0,,,First
Harvard University,,,Boudin, Michael,,"Boudin, Michael",1961.0,Harvard University,1964.0,University of Oxford,,,,,,First
Tufts University,,,Stahl, Norman,,"Stahl, Norman",1952.0,Harvard University,1955.0,University of Oxford,,,,,,First
Wellesley College,,,Lynch, Sandra Lea,,"Lynch, Sandra Lea",1968.0,Boston University,1971.0,University of Oxford,,,,,,First
Haverford College,,,Lipez, Kermit Victor,,"Lipez, Kermit Victor",1963.0,Yale University,1967.0,University of Virginia,1990.0,,,,,First
Plymouth State University,,,Howard, Jeffrey,,"Howard, Jeffrey",1978.0,Georgetown University,1981.0,University of Virginia,,,,,,First
Brown University,,,Thompson, Ojetta Rogeriee,,"Thompson, Ojetta Rogeriee",1973.0,Boston University,1976.0,University of Virginia,,,,,,First
Amherst College,,,Kayatta, William Joseph,,"Kayatta, William Joseph",1976.0,Harvard University,1979.0,University of Virginia,,,,,,First
Harvard University,,,Barron, David Jeremiah,,"Barron, David Jeremiah",1989.0,Harvard University,1994.0,University of Virginia,,,,,,First
Brandeis University,,,Gelpí, Gustavo Antonio,,"Gelpí, Gustavo Antonio",1987.0,Suffolk University,1991.0,University of Virginia,,,,,,First
Syracuse University,Hamilton College,,Wallace, William James,,"Wallace, William James",1857.0,,1858.0,University of Virginia,,,,,,Second
