school,count,circuit
Harvard University,24,District of Columbia
Yale University,16,District of Columbia
Stanford University,14,District of Columbia
Duke University,11,District of Columbia
University of Virginia,9,District of Columbia
Georgetown University,7,District of Columbia
University of Chicago,6,District of Columbia
Columbia University,5,District of Columbia
Cornell University,5,District of Columbia
Randolph-Macon College,4,District of Columbia
University of Michigan,3,District of Columbia
University of North Carolina,3,District of Columbia
Washington University in St. Louis,3,District of Columbia
Dartmouth College,2,District of Columbia
Hamilton College,2,District of Columbia
Loyola University New Orleans,2,District of Columbia
Princeton University,2,District of Columbia
University of Oxford,2,District of Columbia
Washington and Lee University,2,District of Columbia
Brigham Young University,1,District of Columbia
Brown University,1,District of Columbia
"California State University, Sacramento",1,District of Columbia
Central University (now Eastern Kentucky University),1,District of Columbia
Centre College,1,District of Columbia
College of the Holy Cross,1,District of Columbia
Connecticut College,1,District of Columbia
Creighton University,1,District of Columbia
Dickinson College,1,District of Columbia
Drexel University,1,District of Columbia
"Heidelberg University, Germany",1,District of Columbia
Howard University,1,District of Columbia
Mitchell Hamline School of Law,1,District of Columbia
Northwestern University,1,District of Columbia
Radcliffe College,1,District of Columbia
Rose-Hulman Institute of Technology,1,District of Columbia
Suffolk University,1,District of Columbia
"University of California, Berkeley",1,District of Columbia
"University of California, Los Angeles",1,District of Columbia
University of Colorado,1,District of Columbia
University of Illinois,1,District of Columbia
University of Maryland,1,District of Columbia
University of Minnesota,1,District of Columbia
University of Missouri,1,District of Columbia
University of Montana,1,District of Columbia
University of Wisconsin,1,District of Columbia
"Westminster College, New Wilmington, Pennsylvania",1,District of Columbia
Wittenberg College,1,District of Columbia
Harvard University,22,Eighth
University of Iowa,16,Eighth
University of Nebraska,12,Eighth
University of Minnesota,9,Eighth
University of Arkansas,8,Eighth
Washington University in St. Louis,8,Eighth
University of Missouri,7,Eighth
Yale University,7,Eighth
Georgetown University,5,Eighth
University of Memphis,5,Eighth
University of Kansas,4,Eighth
University of Michigan,4,Eighth
University of North Dakota,3,Eighth
Dartmouth College,2,Eighth
Drake University,2,Eighth
Mitchell Hamline School of Law,2,Eighth
University of Virginia,2,Eighth
Amherst College,1,Eighth
Benton College of Law,1,Eighth
Bridgewater College,1,Eighth
Columbia University,1,Eighth
Dordt University,1,Eighth
Duke University,1,Eighth
Grinnell College,1,Eighth
Hamilton College,1,Eighth
"Heidelberg University, Germany",1,Eighth
Jamestown College,1,Eighth
"Lincoln University, Missouri",1,Eighth
Loras College,1,Eighth
New York University,1,Eighth
Northwest Missouri State University,1,Eighth
Northwestern University,1,Eighth
Ouachita Baptist University,1,Eighth
Princeton University,1,Eighth
St. John's University,1,Eighth
St. Louis University,1,Eighth
Tabor College,1,Eighth
University of Cincinnati,1,Eighth
University of Missouri - Kansas City,1,Eighth
