school,count,circuit,address
Harvard University,24,District of Columbia,"Massachusetts Hall, Cambridge, MA 02138"
Yale University,16,District of Columbia,"105 Wall Street, New Haven, CT 06520"
Stanford University,14,District of Columbia,"450 Serra Mall, Stanford, CA 94305-2061"
Duke University,11,District of Columbia,"207 Allen Bldg, Durham, NC 27708"
University of Virginia,9,District of Columbia,"1827 University Avenue, Charlottesville, VA 22904"
Georgetown University,7,District of Columbia,"37th and O St NW, Washington, DC 20057"
University of Chicago,6,District of Columbia,"5801 S Ellis Ave, Chicago, IL 60637"
Columbia University,5,District of Columbia,"535 West 116th Street, New York, NY 10027"
Cornell University,5,District of Columbia,"300 Day Hall, Ithaca, NY 14853"
Randolph-Macon College,4,District of Columbia,"204 Henry Street, Ashland, VA 23005-5505"
University of Michigan,3,District of Columbia,"2074 Fleming Administration Building, Ann Arbor, MI 48109-1340"
University of North Carolina,3,District of Columbia,"103 South Bldg Campus Box 9100, Chapel Hill, NC 27599"
Washington University in St. Louis,3,District of Columbia,"One Brookings Dr, Saint Louis, MO 63130"
Dartmouth College,2,District of Columbia,"207 Parkhurst Hall, Hanover, NH 03755"
Hamilton College,2,District of Columbia,"198 College Hill Rd, Clinton, NY 13323"
Loyola University New Orleans,2,District of Columbia,"6363 Saint Charles Ave, New Orleans, LA 70118-6143"
Princeton University,2,District of Columbia,"One Nassau Hall, Princeton, NJ 08544-0015"
University of Oxford,2,District of Columbia,
Washington and Lee University,2,District of Columbia,"204 West Washington Street, Lexington, VA 24450-2116"
Brigham Young University,1,District of Columbia,"Main Campus, Provo, UT 84602"
Brown University,1,District of Columbia,"1 Prospect St, Providence, RI 02912"
"California State University, Sacramento",1,District of Columbia,"6000 J St, Sacramento, CA 95819-6083"
Central University (now Eastern Kentucky University),1,District of Columbia,"521 Lancaster Ave, Richmond, KY 40475-3102"
Centre College,1,District of Columbia,"600 W Walnut St, Danville, KY 40422-1394"
College of the Holy Cross,1,District of Columbia,"One College Street, 119 Fenwick Hall, Worcester, MA 01610-2395"
Connecticut College,1,District of Columbia,"270 Mohegan Ave, New London, CT 06320"
Creighton University,1,District of Columbia,"2500 California Plaza, Omaha, NE 68178"
Dickinson College,1,District of Columbia,"P. O. Box 1773, Carlisle, PA 17013-2896"
Drexel University,1,District of Columbia,"3141 Chestnut St, Philadelphia, PA 19104"
"Heidelberg University, Germany",1,District of Columbia,
Howard University,1,District of Columbia,"2400 Sixth St NW, Washington, DC 20059-0001"
Mitchell Hamline School of Law,1,District of Columbia,"875 Summit Ave, St Paul, MN 55105"
Northwestern University,1,District of Columbia,"633 Clark St, Evanston, IL 60208"
Radcliffe College,1,District of Columbia,"52 Linnaean St, Cambridge, MA 02138"
Rose-Hulman Institute of Technology,1,District of Columbia,"5500 Wabash Avenue, Terre Haute, IN 47803-3999"
Suffolk University,1,District of Columbia,"73 Tremont Street, Boston, MA 02108"
"University of California, Berkeley",1,District of Columbia,"200 California Hall, Berkeley, CA 94720-1500"
"University of California, Los Angeles",1,District of Columbia,"405 Hilgard Ave, Los Angeles, CA 90095"
University of Colorado,1,District of Columbia,"17 UCB, Boulder, CO 80309-0017"
University of Illinois,1,District of Columbia,"601 E John Street, Champaign, IL 61820-5711"
University of Maryland,1,District of Columbia,"Main Administration Building, College Park, MD 20742-0001"
University of Minnesota,1,District of Columbia,"202 Morrill Hall, 100 Church Street SE, Minneapolis, MN 55455-0213"
University of Missouri,1,District of Columbia,"105 Jesse Hall, Columbia, MO 65211"
University of Montana,1,District of Columbia,"32 Campus Drive, Missoula, MT 59812"
University of Wisconsin,1,District of Columbia,"780 Regent St, Madison, WI 53708-8680"
