school,count,circuit,address,lat,lng
Harvard University,24,District of Columbia,"Massachusetts Hall, Cambridge, MA 02138",42.37717,-71.13507
Yale University,16,District of Columbia,"105 Wall Street, New Haven, CT 06520",41.31115,-72.92677
Stanford University,14,District of Columbia,"450 Serra Mall, Stanford, CA 94305-2061",37.42765,-122.17006
Duke University,11,District of Columbia,"207 Allen Bldg, Durham, NC 27708",35.99981,-78.94058
University of Virginia,9,District of Columbia,"1827 University Avenue, Charlottesville, VA 22904",38.03662,-78.50258
Georgetown University,7,District of Columbia,"37th and O St NW, Washington, DC 20057",38.9087,-77.0103
University of Chicago,6,District of Columbia,"5801 S Ellis Ave, Chicago, IL 60637",41.79006,-87.59982
Columbia University,5,District of Columbia,"535 West 116th Street, New York, NY 10027",40.80737,-73.96202
Cornell University,5,District of Columbia,"300 Day Hall, Ithaca, NY 14853",42.44723,-76.4831
Randolph-Macon College,4,District of Columbia,"204 Henry Street, Ashland, VA 23005-5505",37.76081,-77.47817
University of Michigan,3,District of Columbia,"2074 Fleming Administration Building, Ann Arbor, MI 48109-1340",42.27583,-83.74312
University of North Carolina,3,District of Columbia,"103 South Bldg Campus Box 9100, Chapel Hill, NC 27599",35.90882,-79.05217
Washington University in St. Louis,3,District of Columbia,"One Brookings Dr, Saint Louis, MO 63130",38.64788,-90.3022
Dartmouth College,2,District of Columbia,"207 Parkhurst Hall, Hanover, NH 03755",43.70251,-72.28799
Hamilton College,2,District of Columbia,"198 College Hill Rd, Clinton, NY 13323",43.05062,-75.40227
Loyola University New Orleans,2,District of Columbia,"6363 Saint Charles Ave, New Orleans, LA 70118-6143",29.93398,-90.12145
Princeton University,2,District of Columbia,"One Nassau Hall, Princeton, NJ 08544-0015",40.34844,-74.6592
Washington and Lee University,2,District of Columbia,"204 West Washington Street, Lexington, VA 24450-2116",37.78614,-79.44369
Brigham Young University,1,District of Columbia,"Main Campus, Provo, UT 84602",40.25238,-111.64952
Brown University,1,District of Columbia,"1 Prospect St, Providence, RI 02912",41.82532,-71.40438
"California State University, Sacramento",1,District of Columbia,"6000 J St, Sacramento, CA 95819-6083",38.56124,-121.42446
Central University (now Eastern Kentucky University),1,District of Columbia,"521 Lancaster Ave, Richmond, KY 40475-3102",37.72822,-84.30386
Centre College,1,District of Columbia,"600 W Walnut St, Danville, KY 40422-1394",37.64488,-84.77743
College of the Holy Cross,1,District of Columbia,"One College Street, 119 Fenwick Hall, Worcester, MA 01610-2395",42.23424,-71.81085
Connecticut College,1,District of Columbia,"270 Mohegan Ave, New London, CT 06320",41.37848,-72.10378
Creighton University,1,District of Columbia,"2500 California Plaza, Omaha, NE 68178",41.26533,-95.94935
Dickinson College,1,District of Columbia,"P. O. Box 1773, Carlisle, PA 17013-2896",40.20067,-77.19723
Drexel University,1,District of Columbia,"3141 Chestnut St, Philadelphia, PA 19104",39.95412,-75.18691
Howard University,1,District of Columbia,"2400 Sixth St NW, Washington, DC 20059-0001",38.92314,-77.02158
Mitchell Hamline School of Law,1,District of Columbia,"875 Summit Ave, St Paul, MN 55105",44.94213,-93.1377
Northwestern University,1,District of Columbia,"633 Clark St, Evanston, IL 60208",42.04994,-87.67932
Radcliffe College,1,District of Columbia,"52 Linnaean St, Cambridge, MA 02138",42.38297,-71.12436
Rose-Hulman Institute of Technology,1,District of Columbia,"5500 Wabash Avenue, Terre Haute, IN 47803-3999",39.48102,-87.32362
Suffolk University,1,District of Columbia,"73 Tremont Street, Boston, MA 02108",42.35782,-71.06081
"University of California, Berkeley",1,District of Columbia,"200 California Hall, Berkeley, CA 94720-1500",37.87162,-122.26035
"University of California, Los Angeles",1,District of Columbia,"405 Hilgard Ave, Los Angeles, CA 90095",34.07394,-118.43802
University of Colorado,1,District of Columbia,"17 UCB, Boulder, CO 80309-0017",40.18845,-105.09389
University of Illinois,1,District of Columbia,"601 E John Street, Champaign, IL 61820-5711",40.109,-88.23031
University of Maryland,1,District of Columbia,"Main Administration Building, College Park, MD 20742-0001",38.98615,-76.94014
